STATION ID,STATION NAME,LATITUDE,LONGITUDE,Number in Figure
4529001,"Rumah Pam Paya Kempian, Pasir Raja",4.568055556,102.9791667,17
3933001,Hulu Jabor di Kemaman,3.918055556,103.3083333,12
4234109,JPS Kemaman,4.231944444,103.4222222,1
4332001,Jambatan Tebak,4.377777778,103.2625,14
4232002,Jambatan Air Putih,4.270833333,103.1986111,2
4131001,Kg. Ban Ho,4.133333333,103.175,11
4631001,Bandar Al Muktafi Billah Shah,4.613888889,103.1986111,19
4734079,Sek. Men. Sultan Omar di  Dungun,4.7625,103.4194444,13
4832011,Jambatan Jerangau,4.843055556,103.2041667,18
5331048,Setor JPS Kuala Terengganu,5.318055556,103.1333333,20
5029034,Kg. Dura,5.066666667,102.9416667,4
5328044,Kg. Sg. Tong,5.355555556,102.8861111,10
4930038,Kg. Menerong,4.938888889,103.0611111,15
4929001,Kg.Embong Sekayu di Ulu Terengganu,4.952777778,102.9666667,16
5128001,Sg. Gawi,5.143055556,102.8444444,5
5426001,"Kg.Hulu Seladang, Setiu",5.476388889,102.675,9
5428001,Kg. Batu Hampar di Chalok Site 1,5.447222222,102.8152778,8
5626001,Institut Pertanian Besut,5.643055556,102.6222222,7
5725006,Klinik Kg. Raja di Besut / Sek. Men. Keb. Pengkalan Nyireh,5.797222222,102.5652778,6
5524001,Kg. La,5.530555556,102.4833333,3
