File,Station Name,Station Code,Latitude,Longitude
0600141RF,Jambatan Air Putih At Terengganu,4232002,4.270833333,103.1986111
0700131RF,Kg. La At Terengganu,5524001,5.530555556,102.4833333
0670181RF,Kg. Dura At Terengganu,5029034,5.066666667,102.9416667
0670281RF,Sg. Gawi At Terengganu,5128001,5.143055556,102.8444444
0700011RF,Pengkalan Nyireh,5725006,5.797222222,102.5652778
0690051RF,Inst. Pertanian Besut At Terengganu,5626001,5.643055556,102.6222222
0680081RF,Kg. Batu Hampar At Chalok Site 1,5428001,5.447222222,102.8152778
0680071RF,Ulu Setiu At Dekat Kg. Seladang,5426001,5.476388889,102.675
0670211RF,Kg. Sg. Tong At Terengganu,5328044,5.355555556,102.8861111
0600151RF,Kg. Ban Ho At Terengganu,4131001,4.133333333,103.175
0580041RF,Hulu Jabor At Kemaman Terengganu,3933001,3.918055556,103.3083333
0630011RF,S.M.K. Sultan Omar At Dungun Terengganu,4734079,4.7625,103.4194444
0600131RF,Jambatan Tebak At Terengganu,4332001,4.377777778,103.2625
0600011RF,Jps. Kemaman At Terengganu,4234109,4.231944444,103.4222222
0670221RF,Kg. Menerong At Terengganu,4930038,4.938888889,103.0611111
0670251RF,Kg. Embong Sekayu At Ulu Terengganu,4929001,4.952777778,102.9666667
0551621RF,Rumah Pam Paya Kempian At Pasir Raja Terengganu,4529001,4.568055556,102.9791667
0630121RF,Jambatan Jerangau At Terengganu,4832011,4.843055556,103.2041667
0620081RF,Al Muktafi Billah Shah At Trengganu,4631001,4.613888889,103.1986111
0670051RF,Setor Jps. K.Terengganu At Terengganu,5331048,5.318055556,103.1333333
